"302596.911225081,4124090.68985366"
"302596.889831174,4124091.69973291"
"302596.862797198,4124092.70974482"
"302596.83597064,4124093.72857507"
"302596.808770781,4124094.7315323"
"302596.771078907,4124095.76826454"
"302596.750970977,4124096.8328175"
"302596.741355082,4124097.86359548"
"302596.754589873,4124098.90618853"
"302596.740702788,4124099.9953002"
"302596.731501739,4124101.04371486"
"302596.715955465,4124102.06227982"
"302596.729397702,4124103.11369121"
"302596.767142417,4124104.23864605"
"302596.793689954,4124105.36739353"
"302596.825255361,4124106.46955335"
"302596.856530406,4124107.55936749"
"302596.916462089,4124108.66791872"
"302596.951676512,4124109.68528983"
"302596.971298101,4124110.75949626"
"302597.001162827,4124111.7893457"
"302597.042183242,4124112.81363883"
"302597.06615902,4124113.83303891"
"302597.045387603,4124114.86937322"
"302596.985301672,4124115.91369076"
"302596.91314751,4124116.92476392"
"302596.823990224,4124117.9327077"
"302596.661014386,4124118.92121194"
"302596.476556843,4124119.95610216"
"302596.236155037,4124121.01171926"
"302595.950508374,4124122.06310659"
"302595.63487781,4124123.03931947"
"302595.239747243,4124123.99446183"
"302594.787013236,4124124.89978437"
"302594.236987973,4124125.74739735"
"302593.618286577,4124126.55427418"
"302592.949861836,4124127.40643666"
"302592.206789078,4124128.20388634"
"302591.46089569,4124128.88140666"
"302590.606182079,4124129.4909008"
"302589.660605471,4124130.07606253"
"302588.697196202,4124130.62282165"
"302587.657562552,4124131.04784868"
"302586.705431991,4124131.3543512"
"302585.717843328,4124131.59286674"
"302584.711716693,4124131.76299733"
"302583.648152454,4124131.89036295"
"302582.60930387,4124131.86891728"
"302581.552829874,4124131.81788736"
"302580.536748898,4124131.80472964"
"302579.492550608,4124131.79576269"
"302578.454324238,4124131.80077255"
"302577.421530492,4124131.79683154"
"302576.42999905,4124131.62780819"
"302575.515601023,4124131.13933471"
"302574.741372588,4124130.37227975"
"302573.927788079,4124129.61144455"
"302573.110928059,4124128.95127116"
"302572.185415369,4124128.47011803"
"302571.190149636,4124128.14236516"
"302570.133757984,4124128.09486399"
